record_id,city,country,date,population_millions,industrialization_index,forest_cover_percent,urbanization_rate_percent,gdp_per_capita_usd,renewable_energy_percent,vehicle_density_per_1000,green_space_area_km2,pm2_5,pm10,no2,so2,co,o3,aqi
AQI1472,Lagos,Nigeria,2024-01-22,14.99,59.0,26.1,84.5,3314.0,23.4,475.8,8.3,52.2,86.5,27.7,21.7,2.64,38.2,87.6
AQI1197,Shanghai,China,2024-02-16,24.43,69.3,25.9,90.4,25603.0,34.8,461.9,5.5,81.3,125.5,30.1,22.2,2.46,33.6,121.5
AQI2861,Warsaw,Poland,2024-01-11,2.19,46.7,18.0,87.6,18206.0,28.6,369.0,11.4,52.4,93.0,11.0,15.5,1.71,41.6,72.1
AQI1639,New York,USA,2024-02-08,8.5,42.2,36.0,94.8,74047.0,58.9,335.3,35.6,34.0,52.6,26.0,6.2,1.37,32.4,46.9
AQI1579,Los Angeles,USA,2024-01-29,4.01,46.8,42.7,95.8,66782.0,47.0,384.8,40.7,40.8,67.2,15.8,1.7,1.86,32.7,57.3
AQI1654,Sao Paulo,Brazil,2024-01-04,21.91,48.2,42.3,90.6,12592.0,19.1,482.3,11.2,39.4,56.8,31.8,9.0,1.86,19.2,58.4
AQI2895,WARSAW,Poland,2024-02-14,2.19,46.7,18.0,87.6,18206.0,28.6,369.0,11.4,38.7,59.7,19.4,9.7,1.87,28.7,55.7
AQI1954,Seoul,South Korea,2024-01-04,9.44,53.5,23.2,93.8,33071.0,41.4,409.7,5.8,43.4,62.6,27.9,14.0,1.63,45.8,57.5
AQI2414,Hong Kong,China,2024-01-14,7.57,46.2,47.6,99.6,46494.0,47.0,437.9,37.1,22.1,33.7,23.7,10.6,1.06,34.5,32.5
AQI2095,Paris,France,2024-02-14,11.3,34.0,21.1,93.6,47249.0,52.6,349.0,10.9,45.8,68.3,22.9,6.3,1.41,33.2,65.1
AQI1591,Los Angeles,USA,2024-02-10,4.01,46.8,42.7,95.8,66782.0,47.0,384.8,40.7,54.2,89.2,24.8,9.6,1.28,47.2,75.0
AQI1595,  Los Angeles  ,USA,2024-02-14,4.01,46.8,42.7,95.8,66782.0,47.0,384.8,40.7,41.5,72.7,19.2,13.8,1.72,24.7,68.5
AQI2645,Santiago,Chile,2024-02-14,6.58,44.2,13.9,88.4,16282.0,29.7,374.4,1.0,60.5,99.6,29.3,9.1,1.27,37.2,84.1
AQI1299,Dhaka,Bangladesh,2024-02-18,20.95,68.2,20.6,89.0,2717.0,9.6,480.2,1.0,75.0,116.5,36.8,23.6,2.16,22.2,108.7
AQI1038,Delhi,India,2024-02-07,20.19,77.8,33.4,94.3,2582.0,11.2,593.5,14.9,65.1,101.5,41.7,25.4,2.51,46.6,100.5
AQI2890,Warsaw,Poland,2024-02-09,2.19,46.7,18.0,87.6,18206.0,28.6,369.0,11.4,58.1,103.6,25.7,13.6,1.96,54.4,93.7
AQI1378,Karachi,Pakistan,2024-01-28,15.59,72.9,19.0,88.0,1826.0,16.1,522.7,3.1,83.2,134.5,42.7,20.5,2.67,33.6,129.2
AQI2432,Hong Kong,China,2024-02-01,7.57,46.2,47.6,99.6,46494.0,47.0,437.9,37.1,37.4,56.5,29.4,10.7,1.65,33.4,52.2
AQI2189,Madrid,Spain,2024-02-08,6.87,37.2,33.1,92.5,33551.0,34.2,385.5,21.4,35.5,60.4,20.1,9.5,1.65,39.8,54.0
AQI1141,Beijing,China,2024-02-10,21.39,82.2,22.0,88.9,17964.0,12.3,481.5,12.6,89.9,146.2,46.5,24.9,3.14,31.3,139.0
AQI1059,Mumbai,India,2024-01-09,12.56,63.8,21.6,97.3,3190.0,17.5,511.8,4.8,60.1,102.0,36.4,21.3,2.13,43.6,98.1
AQI2503,Johannesburg,South Africa,2024-01-03,5.55,46.2,6.9,81.4,6932.0,19.9,394.8,1.0,50.8,90.9,31.3,15.3,0.86,,81.0
AQI2449,Hong Kong,China,2024-02-18,7.57,46.2,47.6,99.6,46494.0,47.0,437.9,37.1,28.3,55.9,20.5,8.5,1.98,27.2,-49.8
AQI2427,Hong Kong,China,2024-01-27,7.57,46.2,47.6,99.6,46494.0,47.0,437.9,37.1,21.4,28.5,28.9,1.0,2.23,38.1,46.7
AQI2091,Paris,France,2024-02-10,11.3,34.0,21.1,93.6,47249.0,52.6,349.0,10.9,47.0,85.5,27.5,1.0,1.66,35.1,71.4
AQI1439,Cairo,Egypt,2024-02-08,20.65,62.5,7.3,82.7,4267.0,23.4,427.6,2.1,80.3,126.8,37.7,10.8,2.28,32.9,115.5
AQI2117,Berlin,Germany,2024-01-17,3.43,38.5,31.6,95.6,49941.0,49.6,423.3,25.5,39.3,57.9,28.6,13.7,1.64,30.2,60.2
AQI2331,Sydney,Australia,2024-01-31,5.88,29.5,47.0,94.6,56779.0,56.6,330.3,19.9,14.3,25.5,17.2,3.2,1.55,45.3,21.7
AQI1863,Istanbul,Turkey,2024-01-13,15.58,54.7,15.3,88.9,10428.0,22.0,432.0,1.0,72.8,121.7,34.1,13.6,1.59,57.2,104.5
AQI1035,delhi,India,2024-02-04,20.19,77.8,33.4,94.3,2582.0,11.2,593.5,14.9,72.0,111.3,49.9,22.3,2.57,44.2,120.3
AQI1603,New York,USA,2024-01-03,8.5,42.2,36.0,94.8,74047.0,58.9,335.3,35.6,35.2,54.3,21.8,7.6,1.97,23.8,51.0
AQI1493,Lagos,Nigeria,2024-02-12,14.99,59.0,26.1,84.5,3314.0,23.4,475.8,8.3,59.5,88.1,30.4,21.4,1.73,25.6,93.6
AQI2564,Buenos Aires,Argentina,2024-01-14,15.51,40.7,16.2,89.5,10293.0,24.9,419.3,1.0,65.5,107.7,23.4,12.9,1.37,30.9,90.3
AQI2099,Paris,France,2024-02-18,11.3,34.0,21.1,93.6,47249.0,52.6,349.0,10.9,33.1,49.2,17.1,,1.75,44.9,45.1
AQI1518,Mexico City,Mexico,2024-01-18,22.38,57.0,35.7,88.2,11525.0,14.1,424.1,3.1,66.5,108.9,31.7,10.3,1.82,37.5,84.6
AQI2170,Madrid,Spain,2024-01-20,6.87,37.2,33.1,92.5,33551.0,34.2,385.5,21.4,36.2,49.7,15.5,10.2,1.65,36.1,55.1
AQI1260,Dhaka,Bangladesh,2024-01-10,20.95,68.2,20.6,89.0,2717.0,9.6,480.2,1.0,74.8,124.4,27.5,22.9,2.03,47.2,113.6
AQI2135,Berlin,Germany,2024-02-04,3.43,38.5,31.6,95.6,49941.0,49.6,423.3,25.5,42.5,67.8,18.6,10.1,1.91,25.8,62.4
AQI2495,Nairobi,Kenya,2024-02-14,4.3,40.1,6.0,77.8,2023.0,15.4,453.8,10.3,63.9,89.7,18.7,12.8,1.63,51.8,90.2
AQI1689,Sao Paulo,Brazil,2024-02-08,21.91,48.2,42.3,90.6,12592.0,19.1,482.3,11.2,40.8,64.4,34.0,4.8,,44.9,64.9
AQI2171,Madrid,Spain,2024-01-21,6.87,37.2,33.1,92.5,33551.0,34.2,385.5,21.4,38.7,69.4,20.7,3.4,2.07,38.7,57.9
AQI2996,Wellington,New Zealand,2024-02-15,0.45,20.1,31.4,86.7,48404.0,57.2,253.7,18.9,7.6,15.6,12.0,1.0,1.3,21.4,14.8
AQI2711,Tehran,Iran,2024-01-11,8.82,59.2,3.4,82.5,4984.0,11.8,391.7,6.0,73.5,109.8,41.2,19.6,1.55,32.4,108.4
AQI1411,CAIRO,Egypt,2024-01-11,20.65,62.5,7.3,82.7,4267.0,23.4,427.6,2.1,74.3,117.8,35.0,13.8,2.34,9.0,104.2
AQI2023,London,UK,2024-01-23,9.16,34.9,30.7,95.0,49864.0,50.8,434.4,21.7,34.1,56.1,22.5,8.5,2.01,39.5,48.7
AQI1008,Delhi,India,2024-01-08,20.19,77.8,33.4,94.3,2582.0,11.2,593.5,14.9,66.1,107.8,46.0,19.7,2.89,23.9,96.3
AQI2152,Madrid,Spain,2024-01-02,6.87,37.2,33.1,92.5,33551.0,34.2,385.5,21.4,40.6,62.4,14.8,2.2,1.28,36.2,64.1
AQI1700,Sao Paulo,Brazil,2024-02-19,21.91,48.2,42.3,90.6,12592.0,19.1,482.3,11.2,42.5,74.3,30.9,,2.11,49.6,72.8
AQI2125,Berlin,Germany,2024-01-25,3.43,38.5,31.6,95.6,49941.0,49.6,423.3,25.5,34.4,52.1,17.6,8.9,1.67,32.4,53.5
AQI1354,Karachi,Pakistan,2024-01-04,15.59,72.9,19.0,88.0,1826.0,16.1,522.7,3.1,65.9,111.3,42.1,16.4,2.68,30.0,94.7
AQI1021,Delhi,India,2024-01-21,20.19,77.8,33.4,94.3,2582.0,11.2,593.5,14.9,76.4,124.0,42.3,22.1,2.74,37.3,115.7
AQI2042,London,UK,2024-02-11,9.16,34.9,30.7,95.0,49864.0,50.8,434.4,21.7,31.8,45.4,23.9,4.5,1.25,29.3,48.0
AQI2343,Sydney,Australia,2024-02-12,5.88,29.5,47.0,94.6,56779.0,56.6,330.3,19.9,25.7,44.9,13.8,1.0,1.18,37.0,45.1
AQI2050,London,UK,2024-02-19,9.16,34.9,30.7,95.0,49864.0,50.8,434.4,21.7,60.3,97.7,17.8,2.9,1.8,53.2,83.0
AQI1205,Lahore,Pakistan,2024-01-05,11.05,73.1,13.5,85.4,1687.0,22.3,511.7,11.1,59.5,97.9,42.6,18.3,2.56,38.1,89.5
AQI2731,Tehran,Iran,2024-01-31,8.82,59.2,3.4,82.5,4984.0,11.8,391.7,6.0,81.0,142.9,36.0,14.7,1.85,37.9,125.0
AQI2718,Tehran,Iran,2024-01-18,8.82,59.2,3.4,82.5,4984.0,11.8,391.7,6.0,73.1,118.3,29.0,20.9,2.18,31.1,101.5
AQI2589,Buenos Aires,Argentina,2024-02-08,15.51,40.7,16.2,89.5,10293.0,24.9,419.3,1.0,57.9,91.0,18.0,5.1,1.81,47.3,83.9
AQI2719,Tehran,Iran,2024-01-19,8.82,59.2,3.4,82.5,4984.0,11.8,391.7,6.0,73.7,124.1,32.1,22.7,2.55,43.9,105.2
AQI1526,Mexico City,Mexico,2024-01-26,22.38,57.0,35.7,88.2,11525.0,14.1,424.1,3.1,63.9,103.7,31.6,11.7,2.6,41.3,92.3
AQI2893,Warsaw,Poland,2024-02-12,2.19,46.7,18.0,87.6,18206.0,28.6,369.0,11.4,,117.2,26.8,12.2,1.54,44.9,91.5
AQI2557,Buenos Aires,Argentina,2024-01-07,15.51,40.7,16.2,89.5,10293.0,24.9,419.3,1.0,39.6,68.8,23.2,8.9,1.44,12.8,54.3
AQI2216,Rome,Italy,2024-01-16,4.27,37.2,32.0,92.7,35529.0,47.6,322.5,25.5,39.8,64.9,21.0,11.4,1.17,34.1,57.1
AQI1821,manila,Philippines,2024-01-21,13.86,58.9,24.1,87.1,4432.0,15.6,432.2,6.4,47.4,78.1,26.6,16.7,1.46,50.3,75.9
AQI2885,Warsaw,Poland,2024-02-04,2.19,46.7,18.0,87.6,18206.0,28.6,369.0,11.4,50.5,80.3,24.2,12.5,1.27,50.2,74.3
AQI2267,Toronto,Canada,2024-01-17,2.62,28.2,28.8,91.2,50568.0,59.3,277.0,22.5,35.7,54.0,6.6,8.5,1.76,51.1,51.3
AQI1186,Shanghai,China,2024-02-05,,69.3,25.9,90.4,25603.0,34.8,461.9,5.5,69.9,104.5,40.2,22.3,2.92,34.0,112.4
AQI1453,Lagos,Nigeria,2024-01-03,14.99,59.0,26.1,84.5,3314.0,23.4,475.8,8.3,54.1,91.2,33.6,13.0,2.35,17.5,85.7
AQI2505,Johannesburg,South Africa,2024-01-05,5.55,46.2,6.9,81.4,6932.0,19.9,394.8,1.0,41.3,64.2,25.5,12.8,1.4,22.7,58.1
AQI1528,Mexico City,Mexico,2024-01-28,22.38,57.0,35.7,88.2,11525.0,14.1,424.1,3.1,47.9,64.2,31.1,14.2,2.11,24.2,65.7
AQI1230,Lahore,Pakistan,2024-01-30,11.05,73.1,13.5,85.4,1687.0,22.3,511.7,11.1,79.7,121.1,38.7,19.6,2.89,49.9,129.5
AQI1480,Lagos,Nigeria,2024-01-30,14.99,59.0,26.1,84.5,3314.0,23.4,475.8,8.3,60.8,111.0,35.8,17.0,1.9,23.2,93.7
AQI2370,Singapore,Singapore,2024-01-20,5.42,54.4,23.4,100.0,72404.0,66.4,373.3,13.3,56.4,77.8,25.6,10.1,1.68,40.3,84.7
AQI1364,Karachi,Pakistan,2024-01-14,15.59,72.9,19.0,88.0,1826.0,16.1,522.7,3.1,69.7,107.9,26.5,22.8,3.04,43.7,97.6
AQI2811,Ho Chi Minh City,Vietnam,2024-01-11,9.59,55.0,39.4,81.4,4512.0,12.7,422.8,24.8,51.3,76.9,29.5,14.6,1.99,42.4,76.1
AQI1342,Jakarta,Indonesia,2024-02-11,10.45,57.5,49.8,89.5,4903.0,18.6,401.2,15.7,53.8,83.0,30.4,14.7,1.99,24.7,76.3
AQI2750,Tehran,IRAN,2024-02-19,8.82,59.2,3.4,82.5,4984.0,11.8,391.7,6.0,70.8,108.6,32.6,13.8,2.46,47.0,102.6
AQI1052,Mumbai,India,2024-01-02,,63.8,21.6,97.3,3190.0,17.5,511.8,4.8,68.0,121.7,29.3,19.8,2.48,58.7,99.4
AQI1037,Delhi,India,2024-02-06,20.19,77.8,33.4,94.3,2582.0,11.2,593.5,14.9,68.9,109.8,24.9,18.0,2.87,22.5,108.0
